time: 186616, epoch: 1, step: 342, outputs are [6.387867]
time: 186661, epoch: 1, step: 343, outputs are [6.6208353]
time: 186708, epoch: 1, step: 344, outputs are [6.028271]
time: 186752, epoch: 1, step: 345, outputs are [6.1923313]
time: 186797, epoch: 1, step: 346, outputs are [6.2351885]
time: 186841, epoch: 1, step: 347, outputs are [6.4931884]
time: 186884, epoch: 1, step: 348, outputs are [6.334618]
time: 186931, epoch: 1, step: 349, outputs are [6.528228]
time: 186982, epoch: 1, step: 350, outputs are [6.490979]
time: 187029, epoch: 1, step: 351, outputs are [6.568977]
time: 187074, epoch: 1, step: 352, outputs are [6.6399546]
time: 187119, epoch: 1, step: 353, outputs are [6.482979]
time: 187166, epoch: 1, step: 354, outputs are [6.5040402]
time: 187213, epoch: 1, step: 355, outputs are [6.801763]
time: 187261, epoch: 1, step: 356, outputs are [6.373659]
time: 187308, epoch: 1, step: 357, outputs are [6.3448415]
time: 187356, epoch: 1, step: 358, outputs are [6.527458]
time: 187403, epoch: 1, step: 359, outputs are [6.340182]
time: 187452, epoch: 1, step: 360, outputs are [6.279831]
time: 187499, epoch: 1, step: 361, outputs are [6.53844]
time: 187547, epoch: 1, step: 362, outputs are [6.526142]
time: 187595, epoch: 1, step: 363, outputs are [6.182698]
time: 187652, epoch: 1, step: 364, outputs are [6.60774]
time: 187699, epoch: 1, step: 365, outputs are [6.480879]
time: 187752, epoch: 1, step: 366, outputs are [6.336909]
time: 187800, epoch: 1, step: 367, outputs are [6.295284]
time: 187848, epoch: 1, step: 368, outputs are [6.5343966]
time: 187894, epoch: 1, step: 369, outputs are [6.187867]
time: 187948, epoch: 1, step: 370, outputs are [6.4007196]
time: 187999, epoch: 1, step: 371, outputs are [6.071799]
time: 188052, epoch: 1, step: 372, outputs are [6.0657144]
time: 188102, epoch: 1, step: 373, outputs are [6.135413]
time: 188152, epoch: 1, step: 374, outputs are [6.1892147]
time: 188199, epoch: 1, step: 375, outputs are [6.0977135]
time: 188247, epoch: 1, step: 376, outputs are [6.039854]
time: 188297, epoch: 1, step: 377, outputs are [6.4983253]
time: 188349, epoch: 1, step: 378, outputs are [6.396493]
time: 188396, epoch: 1, step: 379, outputs are [6.393243]
time: 188451, epoch: 1, step: 380, outputs are [6.526831]
time: 188497, epoch: 1, step: 381, outputs are [6.495404]
time: 188545, epoch: 1, step: 382, outputs are [6.303472]
time: 188592, epoch: 1, step: 383, outputs are [6.653438]
time: 188639, epoch: 1, step: 384, outputs are [6.7611165]
time: 188689, epoch: 1, step: 385, outputs are [6.27507]
time: 188736, epoch: 1, step: 386, outputs are [6.166788]
time: 188788, epoch: 1, step: 387, outputs are [6.3127604]
time: 188836, epoch: 1, step: 388, outputs are [6.4107447]
time: 188889, epoch: 1, step: 389, outputs are [6.0396996]
time: 188932, epoch: 1, step: 390, outputs are [6.4699793]
time: 188982, epoch: 1, step: 391, outputs are [6.179288]
time: 189029, epoch: 1, step: 392, outputs are [6.5919633]
time: 189082, epoch: 1, step: 393, outputs are [6.4956217]
